player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,1,0,0,0,,1,0,0.0,28,43.2,0,0,,2,2,100.0,0,1,1,100.0,3,2,66.7,1,1,100.0
Matt Prater,3471,K,ARZ,1,0,2,2,100.0,1,1,100.0,1,77.2,0,0,,2,2,100.0,0,0,0,,3,3,100.0,0,0,
Mason Crosby,3809,K,GB,1,0,0,0,,0,0,,12,65.8,0,0,,6,6,100.0,0,0,0,,1,1,100.0,1,1,100.0
Ryan Succop,5180,K,TB,1,0,0,0,,0,0,,30,64.1,0,0,,3,3,100.0,0,0,0,,2,2,100.0,2,2,100.0
Graham Gano,5443,K,NYG,1,0,0,0,,0,0,,21,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Randy Bullock,7154,K,TEN,1,0,0,0,,2,1,50.0,31,53.5,0,0,,2,2,100.0,0,0,0,,3,2,66.7,1,1,100.0
Greg Zuerlein,7163,K,DAL,1,0,0,0,,0,0,,9,65.7,0,0,,1,1,100.0,0,3,3,100.0,4,4,100.0,1,1,100.0
Justin Tucker,7604,K,BLT,1,0,2,2,100.0,1,1,100.0,3,77.9,0,0,,1,1,100.0,0,0,0,,3,3,100.0,0,0,
Dustin Hopkins,7958,K,LAC,1,0,0,0,,0,0,,27,66.2,0,0,,4,4,100.0,0,1,1,100.0,3,3,100.0,2,2,100.0
Brandon McManus,8437,K,DEN,1,0,1,1,100.0,0,0,,10,69.9,0,0,,5,5,100.0,0,0,0,,1,1,100.0,0,0,
Brett Maher,8585,K,NO,1,0,0,0,,0,0,,20,65.5,0,0,,3,3,100.0,0,2,2,100.0,3,3,100.0,1,1,100.0
Cairo Santos,8932,K,CHI,1,0,0,0,,2,2,100.0,6,68.8,0,0,,3,3,100.0,0,0,0,,3,3,100.0,1,1,100.0
Chris Boswell,8990,K,PIT,1,0,0,0,,1,0,0.0,25,49.0,0,0,,2,2,100.0,0,0,0,,1,0,0.0,0,0,
Jason Myers,10207,K,SEA,1,0,0,0,,0,0,,29,33.6,0,0,,3,1,33.3,0,2,2,100.0,2,2,100.0,0,0,
Ka'imi Fairbairn,11161,K,HST,1,0,1,1,100.0,0,0,,13,88.5,0,0,,1,1,100.0,0,0,0,,2,2,100.0,1,1,100.0
Zane Gonzalez,11979,K,CAR,1,0,0,0,,0,0,,5,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Harrison Butker,11988,K,KC,1,0,1,1,100.0,0,0,,16,71.0,0,0,,6,6,100.0,0,1,1,100.0,2,2,100.0,0,0,
Younghoe Koo,12042,K,ATL,1,0,0,0,,1,1,100.0,2,68.5,0,0,,2,2,100.0,0,2,2,100.0,3,3,100.0,0,0,
Greg Joseph,22842,K,MIN,1,0,1,0,0.0,1,1,100.0,18,44.7,0,0,,4,3,75.0,0,1,1,100.0,4,3,75.0,1,1,100.0
Daniel Carlson,28121,K,LV,1,0,0,0,,0,0,,23,44.0,0,0,,1,0,0.0,0,0,0,,1,1,100.0,1,1,100.0
Tyler Bass,33010,K,BUF,1,0,0,0,,0,0,,4,64.0,0,0,,3,3,100.0,0,0,0,,2,2,100.0,2,2,100.0
Chase McLaughlin,33285,K,CLV,1,0,0,0,,2,1,50.0,8,52.0,0,0,,3,3,100.0,0,0,0,,2,1,50.0,0,0,
Eddy Pineiro,44140,K,NYJ,1,0,0,0,,1,1,100.0,22,66.8,0,0,,0,0,,0,2,2,100.0,3,3,100.0,0,0,
Brian Johnson,44869,K,WAS,1,0,0,0,,0,0,,32,57.4,0,0,,1,0,0.0,0,0,0,,0,0,,0,0,
Riley Patterson,57556,K,DET,1,0,0,0,,0,0,,11,63.8,0,0,,1,1,100.0,0,1,1,100.0,1,1,100.0,0,0,
Matt Gay,57643,K,LA,1,0,1,1,100.0,0,0,,26,72.7,0,0,,3,3,100.0,0,2,2,100.0,3,3,100.0,0,0,
Evan McPherson,82583,K,CIN,1,0,0,0,,2,1,50.0,7,61.7,0,0,,2,2,100.0,0,1,1,100.0,4,3,75.0,1,1,100.0
